,by,descendants,id,kids,score,time,title,type,url
0,constantinum,31,40713952,"[40714872, 40714918, 40714992, 40715098, 40715104, 40714509, 40714738, 40714866, 40714954, 40714816, 40714792, 40714502, 40715002]",69,1718683303,Every Way to Get Structured Output from LLMs,story,https://www.boundaryml.com/blog/structured-output-from-llms
1,ChrisArchitect,645,40707558,"[40707515, 40715109, 40708230, 40707811, 40709822, 40714134, 40708406, 40707380, 40709046, 40707642, 40708235, 40713372, 40710448, 40707883, 40710567, 40714452, 40713175, 40711684, 40708170, 40707525, 40714986, 40707619, 40714898, 40708747, 40709955, 40714885, 40711219, 40708319, 40710066, 40707474, 40710759, 40708712, 40707459, 40711269, 40709835, 40708434, 40714584, 40708685, 40708299, 40711898, 40714622, 40712648, 40707906, 40710074, 40709741, 40710925, 40708726, 40714062, 40707726, 40708854, 40709874, 40707637, 40710698, 40707420, 40714702, 40712754, 40710586, 40712563, 40713681, 40707914, 40707539, 40713848, 40711039, 40707694, 40707544, 40710034, 40708607, 40708301, 40713417, 40709574, 40709676, 40713055, 40713935, 40708108, 40708163, 40710179, 40713128, 40709416, 40707774, 40710038, 40711544, 40711538, 40709171, 40707912, 40714126, 40711690, 40709272, 40711683, 40708861, 40712196, 40714362, 40707404, 40714192]",1973,1718641793,FTC sues Adobe for hiding fees and inhibiting cancellations,story,https://www.ftc.gov/news-events/news/press-releases/2024/06/ftc-takes-action-against-adobe-executives-hiding-fees-preventing-consumers-easily-cancelling
2,tomduncalf,115,40711484,"[40715123, 40712282, 40714152, 40712326, 40712008, 40713305, 40713480, 40713006, 40712154, 40712174, 40712005, 40712635, 40712792, 40711986, 40712167, 40713656, 40712864, 40712143]",232,1718661074,Getting 50% (SoTA) on Arc-AGI with GPT-4o,story,https://redwoodresearch.substack.com/p/getting-50-sota-on-arc-agi-with-gpt
3,zfnmxt,14,40704179,"[40713949, 40714384, 40714856, 40714399]",68,1718620714,NumPy-style broadcasting in Futhark,story,https://futhark-lang.org/blog/2024-06-17-automap.html
4,miles,69,40708476,"[40710875, 40711427, 40714928, 40710866, 40711868, 40711159, 40714747, 40712997, 40712875, 40710944, 40712128, 40711202, 40711974, 40712086, 40712477, 40713959, 40712896, 40713342]",331,1718645720,"Understanding SPF, DKIM, and DMARC: A Simple Guide",story,https://github.com/nicanorflavier/spf-dkim-dmarc-simplified
5,luu,3,40714544,[40714911],10,1718691040,What happens to latency if service time is cut in half,story,https://pveentjer.github.io/misc/2022/04/18/service-time-cut-in-half.html
6,geox,116,40711284,"[40714063, 40715013, 40713507, 40712874, 40714980, 40713723, 40713591, 40714385, 40714970, 40712728, 40713412, 40713419, 40712749]",161,1718659730,Humans began to rapidly accumulate technological knowledge 600k years ago,story,https://news.asu.edu/20240617-science-and-technology-asu-study-points-origin-cumulative-culture-human-evolution
7,WithinReason,48,40704594,"[40712649, 40712220, 40714143, 40712753, 40712640, 40713383, 40713837, 40714290, 40712595]",102,1718624528,Optical PCIe 7.0 connection hits 128 GT/s,story,https://www.tomshardware.com/tech-industry/optical-pcie-70-connection-hits-a-blazing-128-gts
8,recifs,2,40714371,[40714372],7,1718689079,"The Public Interest Internet, by Robin Berjon",story,https://berjon.com/public-interest-internet/
9,jdblair,4,40705522,"[40712407, 40712429, 40712735]",51,1718631615,FPGA-Based Disk Controller for the Apple II,story,https://www.bigmessowires.com/2017/12/07/fpga-based-disk-controller-for-apple-ii/
